,CHR,START,END,SYMBOL,WestEurasia-Oceania,WestEurasia-America,WestEurasia-Africa,WestEurasia-EastAsia,WestEurasia-SouthAsia,WestEurasia-CentralAsiaSiberia,Oceania-America,Oceania-Africa,Oceania-EastAsia,Oceania-SouthAsia,Oceania-CentralAsiaSiberia,America-Africa,America-EastAsia,America-SouthAsia,America-CentralAsiaSiberia,Africa-EastAsia,Africa-SouthAsia,Africa-CentralAsiaSiberia,EastAsia-SouthAsia,EastAsia-CentralAsiaSiberia,SouthAsia-CentralAsiaSiberia
107,chr5,150622265,150631038,CSF1R,0.0197,0.09129,0.00886,0.00935,0.0092,0.01045,0.22062,0.02946,0.02041,0.02545,0.02778,0.11344,0.13321,0.13154,0.15,0.01322,0.01327,0.0158,0.01219,0.01375,0.01547
108,chr5,150622265,150631038,RPL7P1,0.0197,0.09129,0.00886,0.00935,0.0092,0.01045,0.22062,0.02946,0.02041,0.02545,0.02778,0.11344,0.13321,0.13154,0.15,0.01322,0.01327,0.0158,0.01219,0.01375,0.01547
109,chr5,176802494,176831534,SIMC1,0.01123,0.022,0.00909,0.009,0.02799,0.17285,0.05042,0.01809,0.01437,0.02696,0.18554,0.02779,0.03507,0.07938,0.31589,0.01339,0.03858,0.21859,0.02575,0.17926,0.10688
110,chr5,178296679,178305087,FAM153A,0.02712,0.12306,0.0204,0.10055,0.0091,0.0623,0.11471,0.18644,0.04677,0.05228,0.03604,0.46,0.02624,0.24628,0.05251,0.2745,0.06947,0.27267,0.14214,0.01764,0.11482
111,chr5,179504008,179516826,ZNF454,0.07896,0.02761,0.00998,0.07142,0.01352,0.04709,0.2037,0.12578,0.01515,0.15209,0.02606,0.04121,0.13043,0.03571,0.14815,0.09522,0.01441,0.07983,0.11249,0.01598,0.10096
112,chr6,34494883,34504822,ILRUN,0.03137,0.01082,0.02197,0.01158,0.04592,0.21223,0.04444,0.01716,0.02425,0.01738,0.12821,0.02602,0.01697,0.04667,0.23055,0.01513,0.01906,0.14852,0.03148,0.18918,0.10048
113,chr6,36247067,36255187,PXT1,0.01031,0.01181,0.06382,0.01715,0.03018,0.18211,0.02401,0.06098,0.02441,0.03484,0.18981,0.04766,0.03324,0.02745,0.16201,0.11559,0.02055,0.05469,0.07079,0.2781,0.09836
114,chr6,37222744,37257088,LOC107986531,0.05384,0.03568,0.01315,0.04716,0.01032,0.0446,0.20111,0.10406,0.19599,0.05497,0.02068,0.03117,0.01518,0.06526,0.17213,0.03072,0.02413,0.08791,0.0714,0.17454,0.04353
115,chr6,37222744,37257088,CMTR1,0.05384,0.03568,0.01315,0.04716,0.01032,0.0446,0.20111,0.10406,0.19599,0.05497,0.02068,0.03117,0.01518,0.06526,0.17213,0.03072,0.02413,0.08791,0.0714,0.17454,0.04353
116,chr6,66158071,66166219,EYS,0.07729,0.01337,0.05079,0.00939,0.01136,0.02254,0.06616,0.25146,0.07143,0.11963,0.16716,0.12069,0.01583,0.02933,0.06049,0.07676,0.05471,0.03704,0.01869,0.03683,0.02266
117,chr6,111894971,111903238,CDK19,0.0118,0.0758,0.01127,0.01188,0.00912,0.07632,0.12714,0.02383,0.01451,0.01721,0.12014,0.1339,0.08276,0.11224,0.32884,0.02416,0.0166,0.06565,0.01437,0.12474,0.09836
118,chr6,111894971,111903238,RNU6-957P,0.0118,0.0758,0.01127,0.01188,0.00912,0.07632,0.12714,0.02383,0.01451,0.01721,0.12014,0.1339,0.08276,0.11224,0.32884,0.02416,0.0166,0.06565,0.01437,0.12474,0.09836
119,chr6,111894971,111903238,LOC124901502,0.0118,0.0758,0.01127,0.01188,0.00912,0.07632,0.12714,0.02383,0.01451,0.01721,0.12014,0.1339,0.08276,0.11224,0.32884,0.02416,0.0166,0.06565,0.01437,0.12474,0.09836
120,chr6,119678382,119686422,CEP85L,0.07744,0.02385,0.00951,0.01009,0.01618,0.01001,0.22446,0.11878,0.07937,0.15952,0.11742,0.0271,0.04288,0.01946,0.04081,0.01644,0.01634,0.01567,0.02891,0.01509,0.02363
121,chr6,150832817,150843826,KATNA1,0.01738,0.01984,0.0122,0.0124,0.05068,0.21225,0.02303,0.03899,0.01515,0.02874,0.18334,0.04443,0.01715,0.02592,0.17071,0.02705,0.08516,0.30462,0.03341,0.18963,0.09931
122,chr7,2851367,2869881,AMZ1,0.01048,0.01289,0.00956,0.02115,0.0177,0.11135,0.02696,0.01572,0.03544,0.03132,0.17954,0.01829,0.04948,0.04331,0.20732,0.04257,0.03502,0.20382,0.01208,0.08313,0.08353
123,chr7,2851367,2869881,GNA12,0.01048,0.01289,0.00956,0.02115,0.0177,0.11135,0.02696,0.01572,0.03544,0.03132,0.17954,0.01829,0.04948,0.04331,0.20732,0.04257,0.03502,0.20382,0.01208,0.08313,0.08353
124,chr7,5136214,5148185,SPDYE19P,0.01223,0.01076,0.08525,0.0086,0.01197,0.024,0.02965,0.10771,0.01581,0.0357,0.07413,0.13246,0.01553,0.02155,0.04679,0.10183,0.17078,0.21167,0.0183,0.03799,0.0242
125,chr7,32329409,32342233,PDE1C,0.07392,0.02661,0.00994,0.03838,0.00903,0.01005,0.04725,0.11693,0.20598,0.09824,0.10714,0.04765,0.10633,0.03739,0.0424,0.03186,0.01428,0.01649,0.04502,0.046,0.01539
126,chr7,55967777,55978873,SEPTIN14,0.01168,0.01337,0.01163,0.01676,0.04774,0.17267,0.03342,0.02382,0.02917,0.06449,0.2061,0.01642,0.01601,0.03359,0.13836,0.01288,0.03348,0.14629,0.02348,0.11982,0.06523
127,chr7,55967777,55978873,LOC100420540,0.01168,0.01337,0.01163,0.01676,0.04774,0.17267,0.03342,0.02382,0.02917,0.06449,0.2061,0.01642,0.01601,0.03359,0.13836,0.01288,0.03348,0.14629,0.02348,0.11982,0.06523
128,chr7,57375466,57387596,ZNF479,0.15085,0.03694,0.00991,0.15283,0.01024,0.01045,0.08796,0.16407,0.01531,0.13394,0.22684,0.03882,0.05345,0.03416,0.06722,0.1389,0.01268,0.01799,0.11696,0.17116,0.01845
129,chr7,65531210,65539603,ZNF736,0.01035,0.01983,0.01705,0.05003,0.00931,0.10649,0.03449,0.02507,0.05354,0.01624,0.15552,0.055,0.02321,0.02592,0.24002,0.10375,0.02539,0.08261,0.04957,0.29718,0.1499
130,chr7,65886786,65896825,ZNF107,0.04887,0.0386,0.01641,0.06568,0.00979,0.10528,0.02337,0.03275,0.01492,0.07785,0.35321,0.02733,0.01732,0.06538,0.33769,0.03638,0.02699,0.19919,0.08403,0.29449,0.12702
131,chr7,65886786,65896825,BNIP3P11,0.04887,0.0386,0.01641,0.06568,0.00979,0.10528,0.02337,0.03275,0.01492,0.07785,0.35321,0.02733,0.01732,0.06538,0.33769,0.03638,0.02699,0.19919,0.08403,0.29449,0.12702
132,chr7,73808496,73823736,TYW1B,0.01521,0.05449,0.01242,0.009,0.01243,0.10472,0.14228,0.01566,0.01701,0.01646,0.08551,0.10383,0.08249,0.10744,0.32637,0.01289,0.01266,0.08791,0.01319,0.10595,0.0901
133,chr7,73974592,73990165,TYW1B,0.01311,0.02167,0.00924,0.00981,0.00903,0.12396,0.04167,0.02547,0.02702,0.0215,0.20119,0.05006,0.05025,0.04545,0.2428,0.01182,0.01372,0.14642,0.01442,0.13355,0.16803
134,chr7,73974592,73990165,LOC107986723,0.01311,0.02167,0.00924,0.00981,0.00903,0.12396,0.04167,0.02547,0.02702,0.0215,0.20119,0.05006,0.05025,0.04545,0.2428,0.01182,0.01372,0.14642,0.01442,0.13355,0.16803
135,chr7,77059326,77076833,CCL26,0.04694,0.01567,0.02031,0.01745,0.04317,0.13504,0.1055,0.02533,0.02672,0.0166,0.04986,0.04766,0.04106,0.07938,0.21588,0.01168,0.01916,0.08791,0.02075,0.0926,0.05291
136,chr7,101547548,101556751,SPDYE3,0.05145,0.02752,0.24618,0.01025,0.01097,0.01663,0.02987,0.12133,0.03476,0.05719,0.0366,0.14779,0.02141,0.03088,0.02437,0.18153,0.23805,0.17321,0.01193,0.0149,0.01787
137,chr7,102227432,102264911,LOC124906647,0.0778,0.05053,0.08523,0.00844,0.0105,0.02819,0.24897,0.01597,0.10082,0.09122,0.18919,0.23719,0.06757,0.10624,0.03091,0.10231,0.08633,0.18551,0.01438,0.03536,0.05822
138,chr7,102296144,102329070,MUC12,0.01225,0.32664,0.11259,0.28713,0.01541,0.10715,0.30844,0.07295,0.20817,0.01675,0.08553,0.11345,0.05976,0.32581,0.23338,0.04673,0.07471,0.01609,0.23312,0.08935,0.08164
139,chr7,103349748,103358487,CUX1,0.03875,0.01078,0.01074,0.02654,0.01726,0.17133,0.05837,0.03444,0.01664,0.09525,0.08298,0.01876,0.03128,0.02517,0.19995,0.01962,0.03287,0.1613,0.06296,0.09973,0.28028
140,chr7,132621239,132641444,MKLN1,0.01123,0.022,0.00885,0.0084,0.01243,0.10472,0.05042,0.01601,0.01535,0.01677,0.10894,0.03355,0.02971,0.04907,0.21588,0.01156,0.01535,0.11833,0.01552,0.12068,0.0901
141,chr7,132621239,132641444,MKLN1-AS,0.01123,0.022,0.00885,0.0084,0.01243,0.10472,0.05042,0.01601,0.01535,0.01677,0.10894,0.03355,0.02971,0.04907,0.21588,0.01156,0.01535,0.11833,0.01552,0.12068,0.0901
142,chr7,140772865,140792078,KLRG2,0.02053,0.05005,0.00931,0.01505,0.00975,0.10972,0.04398,0.02383,0.01548,0.0364,0.22684,0.0619,0.04061,0.08512,0.33556,0.01513,0.01544,0.14852,0.02462,0.18918,0.11635
143,chr7,145145168,145154248,TCAF1,0.06374,0.19301,0.12115,0.03182,0.00943,0.07395,0.31574,0.02219,0.10544,0.08747,0.20413,0.32962,0.0758,0.25724,0.10738,0.16161,0.13363,0.23882,0.03021,0.01786,0.09688
144,chr7,153456585,153466625,KMT2C,0.01101,0.12077,0.042,0.09283,0.01641,0.04508,0.27444,0.04393,0.07225,0.0358,0.06628,0.05085,0.01558,0.27385,0.06948,0.03342,0.08898,0.0148,0.12018,0.03173,0.11192
145,chr8,12970479,12988349,MIR5692A2,0.02516,0.01263,0.05575,0.01071,0.02631,0.01251,0.03664,0.23432,0.02671,0.01621,0.03047,0.14368,0.01518,0.02822,0.0213,0.12716,0.22968,0.13571,0.02401,0.01381,0.02475
146,chr8,12970479,12988349,LONRF1,0.02516,0.01263,0.05575,0.01071,0.02631,0.01251,0.03664,0.23432,0.02671,0.01621,0.03047,0.14368,0.01518,0.02822,0.0213,0.12716,0.22968,0.13571,0.02401,0.01381,0.02475
147,chr8,14475742,14487262,SGCZ,0.02321,0.07614,0.02638,0.01745,0.04317,0.02481,0.05057,0.01545,0.01515,0.0199,0.09091,0.03922,0.04956,0.02727,0.20211,0.01305,0.01567,0.08146,0.02075,0.06175,0.11144
148,chr8,22705769,22713871,SLC39A14,0.01925,0.01617,0.00884,0.04152,0.02271,0.09391,0.05937,0.02439,0.10786,0.01634,0.06004,0.02502,0.02682,0.05326,0.157,0.0545,0.02513,0.10248,0.10838,0.25213,0.05048
149,chr8,22705769,22713871,RNU6-336P,0.01925,0.01617,0.00884,0.04152,0.02271,0.09391,0.05937,0.02439,0.10786,0.01634,0.06004,0.02502,0.02682,0.05326,0.157,0.0545,0.02513,0.10248,0.10838,0.25213,0.05048
150,chr8,23424961,23435696,TNFRSF10D,0.34639,0.0137,0.09504,0.00932,0.0137,0.0137,0.29419,0.11011,0.31232,0.35212,0.32292,0.07859,0.02174,0.0,0.0,0.07698,0.10163,0.08916,0.02174,0.02174,0.0
151,chr8,88377645,88386330,CNBD1,0.11454,0.05417,0.02844,0.01128,0.01461,0.01113,0.24807,0.0538,0.16433,0.18235,0.15036,0.11332,0.06141,0.06272,0.07939,0.04913,0.05792,0.04226,0.0126,0.01398,0.01729
152,chr8,101712778,101722614,SNX31,0.03051,0.01075,0.00881,0.01197,0.0091,0.10508,0.05714,0.04153,0.02702,0.04761,0.22824,0.01642,0.01848,0.01735,0.11674,0.01465,0.01291,0.1224,0.01711,0.15875,0.11343
153,chr8,102646020,102654051,GRHL2,0.03294,0.01893,0.01303,0.05953,0.03018,0.0874,0.02618,0.02439,0.19141,0.01635,0.03604,0.01765,0.16129,0.01897,0.05448,0.10854,0.01933,0.06485,0.15544,0.28042,0.03599
154,chr8,142577933,142586954,MROH5,0.07837,0.01998,0.01812,0.03695,0.01847,0.03864,0.17972,0.0757,0.03654,0.08353,0.24479,0.06621,0.08943,0.07249,0.02621,0.01967,0.01266,0.11478,0.02063,0.14452,0.125
155,chr8,142577933,142586954,LOC105375789,0.07837,0.01998,0.01812,0.03695,0.01847,0.03864,0.17972,0.0757,0.03654,0.08353,0.24479,0.06621,0.08943,0.07249,0.02621,0.01967,0.01266,0.11478,0.02063,0.14452,0.125
156,chr8,142577933,142586954,HNRNPA1P38,0.07837,0.01998,0.01812,0.03695,0.01847,0.03864,0.17972,0.0757,0.03654,0.08353,0.24479,0.06621,0.08943,0.07249,0.02621,0.01967,0.01266,0.11478,0.02063,0.14452,0.125
157,chr8,144767201,144782295,LOC105375798,0.32043,0.02486,0.01142,0.18178,0.02898,0.12367,0.21463,0.28563,0.04013,0.20947,0.08126,0.02226,0.07992,0.01735,0.06357,0.13755,0.02077,0.09951,0.08814,0.01988,0.05684
158,chr9,34055331,34065397,UBAP2,0.01594,0.01078,0.01367,0.00859,0.01607,0.12298,0.0357,0.04153,0.02115,0.04761,0.20119,0.02048,0.01558,0.0235,0.13427,0.02003,0.01291,0.10045,0.02365,0.15829,0.09246
159,chr9,36580519,36595633,MELK,0.03051,0.02582,0.01625,0.0156,0.02741,0.10508,0.02312,0.0711,0.06606,0.0946,0.22824,0.06184,0.05711,0.08288,0.20732,0.0115,0.01523,0.07062,0.01473,0.06998,0.05048
160,chr9,36606490,36616855,MELK,0.012,0.01145,0.00995,0.00844,0.01475,0.13056,0.02312,0.01565,0.01657,0.01789,0.17561,0.0164,0.016,0.02098,0.15826,0.01272,0.01606,0.18257,0.02007,0.15994,0.2167
161,chr9,37296026,37306897,ZCCHC7,0.01821,0.02319,0.01054,0.04444,0.0492,0.08373,0.02423,0.01907,0.02441,0.03262,0.16377,0.02502,0.01875,0.025,0.18151,0.03845,0.04671,0.12442,0.0126,0.24644,0.26311
162,chr9,39878566,39888289,FGF7P3,0.012,0.10229,0.0217,0.02668,0.0102,0.06119,0.20833,0.04137,0.04645,0.02484,0.10814,0.06922,0.05994,0.14334,0.03128,0.01186,0.02094,0.0322,0.02451,0.02696,0.07019
163,chr9,39878566,39888289,FAM88D,0.012,0.10229,0.0217,0.02668,0.0102,0.06119,0.20833,0.04137,0.04645,0.02484,0.10814,0.06922,0.05994,0.14334,0.03128,0.01186,0.02094,0.0322,0.02451,0.02696,0.07019
164,chr9,48124047,48142608,LOC105379444,0.032,0.01077,0.01031,0.01842,0.00929,0.04167,0.08525,0.04132,0.01598,0.05739,0.2396,0.01921,0.02492,0.01803,0.08069,0.01662,0.01348,0.09329,0.02059,0.08432,0.08736
165,chr9,78693375,78701752,ZNF658,0.01156,0.01671,0.00947,0.03195,0.01655,0.17068,0.04167,0.01556,0.02446,0.03306,0.13865,0.03098,0.04847,0.01724,0.21576,0.0273,0.0278,0.16135,0.05555,0.06379,0.23508
166,chr9,100547212,100564496,SPIN1,0.06112,0.03096,0.02135,0.09378,0.08367,0.17843,0.03698,0.05847,0.01705,0.01702,0.10165,0.02397,0.03683,0.03739,0.17789,0.07139,0.07062,0.24302,0.01269,0.05251,0.07897
167,chr9,100547212,100564496,HNRNPA1P14,0.06112,0.03096,0.02135,0.09378,0.08367,0.17843,0.03698,0.05847,0.01705,0.01702,0.10165,0.02397,0.03683,0.03739,0.17789,0.07139,0.07062,0.24302,0.01269,0.05251,0.07897
168,chr9,104705625,104714735,CENPP,0.03706,0.16928,0.01532,0.12597,0.0115,0.14428,0.17105,0.02649,0.05502,0.06943,0.42717,0.17316,0.04714,0.23436,0.58463,0.09356,0.03034,0.25102,0.16349,0.48109,0.13662
169,chr9,112158577,112169631,ERP44,0.05732,0.06627,0.01365,0.02137,0.01149,0.01812,0.38559,0.12679,0.04895,0.13665,0.06807,0.05891,0.19395,0.07745,0.19959,0.05322,0.01321,0.04719,0.04884,0.0139,0.04479
170,chr10,45655,61750,TUBB8,0.17278,0.07684,0.01955,0.17561,0.01081,0.03725,0.08499,0.36615,0.01472,0.22667,0.20908,0.21159,0.03841,0.09894,0.06122,0.28943,0.04043,0.12946,0.17241,0.10672,0.04011
171,chr10,11849399,11859215,PROSER2,0.01032,0.03201,0.0145,0.00847,0.01114,0.07632,0.05937,0.02037,0.01443,0.01796,0.09349,0.07147,0.04061,0.06308,0.20792,0.01898,0.01355,0.05469,0.01511,0.09338,0.06838
172,chr10,14986678,15001515,MEIG1,0.04631,0.01317,0.26379,0.08462,0.00916,0.02463,0.07931,0.09192,0.15735,0.06841,0.11216,0.28074,0.05837,0.0203,0.02828,0.39893,0.31457,0.35234,0.0927,0.04122,0.03752
173,chr10,14986678,15001515,OR7E110P,0.04631,0.01317,0.26379,0.08462,0.00916,0.02463,0.07931,0.09192,0.15735,0.06841,0.11216,0.28074,0.05837,0.0203,0.02828,0.39893,0.31457,0.35234,0.0927,0.04122,0.03752
174,chr10,21805375,21819922,DNAJC1,0.03956,0.0229,0.02261,0.02263,0.01005,0.07923,0.14,0.09628,0.09016,0.07064,0.20635,0.01643,0.01518,0.02517,0.04253,0.01149,0.0199,0.03874,0.01914,0.03715,0.07298
175,chr10,32527800,32539890,CCDC7,0.05307,0.02424,0.03773,0.0162,0.01702,0.03765,0.20789,0.03368,0.05385,0.05898,0.03704,0.13645,0.06996,0.07625,0.1518,0.02345,0.02386,0.01548,0.01193,0.02935,0.03106
176,chr10,32527800,32539890,C1DP1,0.05307,0.02424,0.03773,0.0162,0.01702,0.03765,0.20789,0.03368,0.05385,0.05898,0.03704,0.13645,0.06996,0.07625,0.1518,0.02345,0.02386,0.01548,0.01193,0.02935,0.03106
177,chr10,46544161,46553151,ZFAND4,0.03141,0.03163,0.01745,0.00848,0.00929,0.05451,0.14821,0.02102,0.03943,0.03998,0.02581,0.08687,0.04633,0.05375,0.20307,0.01984,0.01945,0.0375,0.01199,0.06784,0.0684
178,chr10,47875493,47888575,PTPN20,0.01321,0.04851,0.00884,0.02034,0.03197,0.01097,0.12045,0.01907,0.01746,0.03262,0.02071,0.07784,0.08784,0.205,0.10109,0.02294,0.04671,0.01559,0.0121,0.02,0.04142
179,chr10,55110362,55118599,PCDH15,0.06988,0.05249,0.063,0.10608,0.00903,0.12493,0.02441,0.01805,0.01886,0.1304,0.03562,0.01652,0.02415,0.10417,0.04887,0.02538,0.09548,0.04531,0.12999,0.01452,0.22267
180,chr10,69234329,69246125,RUFY2,0.01116,0.0722,0.10125,0.02427,0.02338,0.09028,0.14523,0.15356,0.0393,0.0413,0.10165,0.01641,0.04736,0.05326,0.37406,0.05526,0.05901,0.40189,0.01191,0.1982,0.20318
181,chr10,73475514,73485088,MICU1,0.01162,0.04341,0.00894,0.00849,0.01285,0.16573,0.10417,0.01611,0.01667,0.01662,0.15201,0.06874,0.05797,0.08824,0.32884,0.01202,0.01523,0.17208,0.01732,0.18775,0.13757
182,chr10,74171690,74182376,CFAP70,0.01206,0.03665,0.03313,0.00879,0.00919,0.10146,0.08457,0.02719,0.015,0.01723,0.10301,0.1217,0.05486,0.05826,0.27967,0.03139,0.03417,0.04531,0.01194,0.10761,0.11635
183,chr10,74171690,74182376,LOC124902577,0.01206,0.03665,0.03313,0.00879,0.00919,0.10146,0.08457,0.02719,0.015,0.01723,0.10301,0.1217,0.05486,0.05826,0.27967,0.03139,0.03417,0.04531,0.01194,0.10761,0.11635
184,chr10,92347601,92361103,HECTD2-AS1,0.04713,0.06876,0.13012,0.05676,0.05401,0.02289,0.02676,0.23582,0.0146,0.01634,0.02729,0.2694,0.01655,0.0245,0.04397,0.23683,0.27685,0.18821,0.01304,0.02314,0.02252
185,chr10,92347601,92361103,HECTD2,0.04713,0.06876,0.13012,0.05676,0.05401,0.02289,0.02676,0.23582,0.0146,0.01634,0.02729,0.2694,0.01655,0.0245,0.04397,0.23683,0.27685,0.18821,0.01304,0.02314,0.02252
186,chr10,126802660,126816630,FANK1,0.09956,0.10297,0.02974,0.19419,0.00957,0.09192,0.02657,0.04949,0.04699,0.16958,0.01984,0.0585,0.03132,0.16462,0.02569,0.11054,0.03254,0.04217,0.20345,0.0485,0.13617
187,chr11,7842751,7854702,RPL7AP55,0.02015,0.03741,0.22664,0.04955,0.0131,0.01427,0.02807,0.2554,0.08825,0.05141,0.05631,0.30858,0.12979,0.10872,0.12194,0.10131,0.21718,0.19446,0.03763,0.03435,0.01547
188,chr11,7842751,7854702,OR5P2,0.02015,0.03741,0.22664,0.04955,0.0131,0.01427,0.02807,0.2554,0.08825,0.05141,0.05631,0.30858,0.12979,0.10872,0.12194,0.10131,0.21718,0.19446,0.03763,0.03435,0.01547
189,chr11,15084729,15095037,OR7E41P,0.01644,0.02219,0.06767,0.06875,0.01348,0.02395,0.02354,0.11743,0.0361,0.01732,0.02069,0.17884,0.03484,0.02486,0.02133,0.23044,0.15243,0.17735,0.06023,0.03297,0.02312
190,chr11,47189271,47198341,CSTPP1,0.02399,0.0146,0.27584,0.03319,0.00948,0.05857,0.06708,0.49761,0.09181,0.03998,0.035,0.29567,0.02154,0.01971,0.1304,0.18997,0.31585,0.62081,0.03103,0.16441,0.08879
191,chr11,47198341,47207572,CSTPP1,0.02584,0.01611,0.17431,0.013,0.01594,0.05068,0.0756,0.36851,0.05542,0.01919,0.02686,0.17276,0.0155,0.04498,0.11764,0.15998,0.29239,0.44848,0.03631,0.095,0.03478
192,chr11,47231684,47246414,CSTPP1,0.01118,0.04268,0.00943,0.00931,0.05188,0.0694,0.0866,0.01882,0.01809,0.04952,0.08017,0.04937,0.04533,0.18548,0.25269,0.01151,0.07271,0.1018,0.07338,0.10057,0.01908
193,chr11,47268419,47279844,CSTPP1,0.02359,0.0201,0.01303,0.01715,0.03978,0.10845,0.02312,0.05078,0.01657,0.0946,0.20119,0.04412,0.016,0.08288,0.18202,0.03845,0.02513,0.08259,0.08522,0.18735,0.03813
194,chr11,47189271,47198341,LOC112268075,0.02399,0.0146,0.27584,0.03319,0.00948,0.05857,0.06708,0.49761,0.09181,0.03998,0.035,0.29567,0.02154,0.01971,0.1304,0.18997,0.31585,0.62081,0.03103,0.16441,0.08879
195,chr11,47198341,47207572,LOC112268075,0.02584,0.01611,0.17431,0.013,0.01594,0.05068,0.0756,0.36851,0.05542,0.01919,0.02686,0.17276,0.0155,0.04498,0.11764,0.15998,0.29239,0.44848,0.03631,0.095,0.03478
196,chr11,54643166,54651853,OR4A5,0.01344,0.01166,0.02204,0.04405,0.01987,0.03279,0.02431,0.01974,0.10737,0.01895,0.04197,0.03215,0.09813,0.0295,0.0797,0.19735,0.01291,0.02657,0.18412,0.24822,0.03095
197,chr11,58642767,58658507,GLYAT,0.01033,0.03243,0.11279,0.08998,0.00975,0.01456,0.05837,0.11967,0.11272,0.01723,0.02447,0.24105,0.02988,0.03888,0.08495,0.38224,0.14469,0.08279,0.09111,0.15875,0.02596
198,chr11,71811347,71820441,XNDC1N-ZNF705EP-ALG1L9P,0.01055,0.0207,0.13294,0.02844,0.01281,0.03286,0.06601,0.18453,0.04947,0.03081,0.09762,0.27899,0.01601,0.02573,0.0265,0.28214,0.27551,0.34275,0.02405,0.01423,0.04394
199,chr11,71811347,71820441,XNDC1N,0.01055,0.0207,0.13294,0.02844,0.01281,0.03286,0.06601,0.18453,0.04947,0.03081,0.09762,0.27899,0.01601,0.02573,0.0265,0.28214,0.27551,0.34275,0.02405,0.01423,0.04394
200,chr11,71811347,71820441,DEFB131B,0.01055,0.0207,0.13294,0.02844,0.01281,0.03286,0.06601,0.18453,0.04947,0.03081,0.09762,0.27899,0.01601,0.02573,0.0265,0.28214,0.27551,0.34275,0.02405,0.01423,0.04394
201,chr11,71811347,71820441,OR7E128P,0.01055,0.0207,0.13294,0.02844,0.01281,0.03286,0.06601,0.18453,0.04947,0.03081,0.09762,0.27899,0.01601,0.02573,0.0265,0.28214,0.27551,0.34275,0.02405,0.01423,0.04394
202,chr11,72918295,72928368,FCHSD2,0.01821,0.03909,0.02791,0.03302,0.00964,0.06653,0.03922,0.01718,0.01786,0.02218,0.13966,0.02291,0.01921,0.05088,0.20732,0.01183,0.0281,0.17245,0.03225,0.18535,0.09366
203,chr11,73596066,73605318,RAB6A,0.04919,0.01997,0.10123,0.05349,0.0112,0.01425,0.03902,0.32302,0.01442,0.05591,0.11511,0.22717,0.02586,0.0228,0.06005,0.29886,0.18024,0.08489,0.04688,0.09677,0.03238
204,chr11,73679299,73687792,RAB6A,0.02359,0.0201,0.04195,0.00889,0.0221,0.10845,0.02312,0.09362,0.02702,0.06977,0.20119,0.08176,0.02382,0.06088,0.18202,0.0533,0.01716,0.03556,0.03131,0.13355,0.06019
205,chr11,76297861,76306476,THAP12,0.01826,0.03257,0.06179,0.01994,0.02975,0.06383,0.10118,0.12883,0.05542,0.01842,0.04684,0.01992,0.01959,0.115,0.20931,0.02967,0.16376,0.25088,0.07916,0.1404,0.02841
206,chr11,86773987,86785536,PRSS23,0.01205,0.01708,0.0242,0.04982,0.02463,0.06011,0.05793,0.02337,0.08969,0.07083,0.15911,0.08789,0.03365,0.01947,0.08811,0.14961,0.12318,0.2112,0.02638,0.01584,0.06282
207,chr11,86773987,86785536,OR7E13P,0.01205,0.01708,0.0242,0.04982,0.02463,0.06011,0.05793,0.02337,0.08969,0.07083,0.15911,0.08789,0.03365,0.01947,0.08811,0.14961,0.12318,0.2112,0.02638,0.01584,0.06282
208,chr12,7849193,7857491,SLC2A14,0.06978,0.01156,0.00885,0.0088,0.00906,0.0607,0.12292,0.10569,0.09327,0.11565,0.26984,0.01707,0.01757,0.01906,0.09707,0.01238,0.01297,0.08259,0.01208,0.05924,0.07487
209,chr12,8170744,8180936,ZNF705A,0.01615,0.01589,0.12965,0.01808,0.00986,0.07132,0.02273,0.09744,0.06057,0.01926,0.19894,0.09062,0.0572,0.02009,0.19061,0.2017,0.11618,0.2744,0.03055,0.05792,0.10843
210,chr12,12059756,12069314,LRP6,0.02954,0.022,0.01609,0.01075,0.03572,0.10472,0.02401,0.07102,0.02682,0.11239,0.24807,0.05592,0.02112,0.0913,0.21588,0.03048,0.01929,0.07505,0.05941,0.15482,0.04353
211,chr12,12059756,12069314,MORF4L1P2,0.02954,0.022,0.01609,0.01075,0.03572,0.10472,0.02401,0.07102,0.02682,0.11239,0.24807,0.05592,0.02112,0.0913,0.21588,0.03048,0.01929,0.07505,0.05941,0.15482,0.04353
212,chr12,48692267,48707965,TEX49,0.01809,0.04379,0.03411,0.01916,0.02898,0.23548,0.03292,0.01907,0.01434,0.01816,0.16377,0.01765,0.02298,0.02,0.10338,0.01464,0.01295,0.12442,0.01341,0.16083,0.13641
213,chr12,50378351,50386405,LARP4,0.02329,0.04769,0.01937,0.01643,0.00901,0.16459,0.15483,0.06923,0.06,0.03273,0.12854,0.03355,0.03507,0.06836,0.44599,0.01175,0.02408,0.29677,0.02017,0.27458,0.2082
214,chr12,51371693,51381492,SLC4A8,0.01622,0.06298,0.0088,0.05251,0.01575,0.07078,0.07431,0.02383,0.03229,0.04428,0.14315,0.09252,0.02382,0.13465,0.29362,0.06453,0.01906,0.08279,0.10625,0.24446,0.04927
215,chr12,52060195,52068952,SMIM41,0.01054,0.01087,0.23113,0.07143,0.01017,0.02999,0.02277,0.23928,0.08526,0.01986,0.05625,0.26351,0.08955,0.02122,0.06687,0.40939,0.32166,0.36245,0.07597,0.02635,0.0386
