,chr,start,end,WestEurasia-SouthAsia,WestEurasia-Africa,WestEurasia-CentralAsiaSiberia,WestEurasia-Oceania,WestEurasia-America,WestEurasia-EastAsia,SouthAsia-Africa,SouthAsia-CentralAsiaSiberia,SouthAsia-Oceania,SouthAsia-America,SouthAsia-EastAsia,Africa-CentralAsiaSiberia,Africa-Oceania,Africa-America,Africa-EastAsia,CentralAsiaSiberia-Oceania,CentralAsiaSiberia-America,CentralAsiaSiberia-EastAsia,Oceania-America,Oceania-EastAsia,America-EastAsia,i
1604,12,45899329,45910710,0.30734,0.02395,0.09397,0.43198,0.24663,0.51654,0.21599,0.1034,0.08969,0.01698,0.08681,0.04704,0.37612,0.18279,0.43207,0.3104,0.0975,0.32618,0.15188,0.02174,0.12868,1604.0
1610,12,48705930,48711527,0.02091,0.18893,0.17404,0.04417,0.02571,0.37853,0.12297,0.13059,0.02437,0.01715,0.32719,0.01468,0.07161,0.10818,0.09482,0.08975,0.13294,0.09648,0.02634,0.27758,0.35305,1610.0
1615,12,50969094,50976047,0.12003,0.01275,0.37711,0.2652,0.32294,0.28018,0.08301,0.12462,0.06518,0.08784,0.05792,0.32367,0.22085,0.27725,0.21622,0.02955,0.02524,0.02966,0.02295,0.01476,0.01803,1615.0
1633,12,58501160,58514645,0.01567,0.20774,0.01519,0.01025,0.01042,0.01006,0.19425,0.0,0.04167,0.04545,0.04229,0.16661,0.14334,0.13931,0.17786,0.04167,0.04545,0.0384,0.02188,0.01574,0.0171,1633.0
1639,12,60521660,60526049,0.01653,0.16374,0.05096,0.1166,0.18822,0.02715,0.2603,0.03616,0.11121,0.21659,0.01431,0.38765,0.50305,0.61749,0.30153,0.06341,0.19363,0.02249,0.07391,0.08251,0.17547,1639.0
1666,12,69556591,69561939,0.01055,0.03751,0.1028,0.01348,0.03939,0.05609,0.06609,0.0919,0.0271,0.03688,0.04203,0.25567,0.03348,0.15836,0.15031,0.15532,0.0376,0.02344,0.08531,0.07684,0.01557,1666.0
1676,12,72189014,72190724,0.04572,0.08981,0.07334,0.0582,0.22069,0.12449,0.01957,0.0192,0.01784,0.10881,0.03196,0.01467,0.01608,0.0671,0.01437,0.01985,0.09703,0.02024,0.09344,0.02227,0.04563,1676.0
1703,12,81420452,81426266,0.02757,0.02867,0.01054,0.02354,0.14845,0.02909,0.0,0.03704,0.0,0.23831,0.0,0.03704,0.0,0.24463,0.0,0.03704,0.16159,0.03704,0.20965,0.0,0.24687,1703.0
1704,12,82103935,82109407,0.02284,0.02358,0.14062,0.02016,0.16784,0.09536,0.0,0.20853,0.0,0.23724,0.13629,0.21519,0.0,0.24354,0.14279,0.1793,0.02404,0.01958,0.20871,0.11015,0.03211,1704.0
1705,12,82139441,82144626,0.02073,0.08323,0.16598,0.04027,0.03404,0.03248,0.05242,0.30774,0.02602,0.09864,0.08518,0.49491,0.02401,0.23237,0.20379,0.39448,0.08941,0.09283,0.16246,0.12439,0.01516,1705.0
1723,12,90485546,90491971,0.01011,0.0837,0.066,0.10241,0.11922,0.03051,0.10705,0.07451,0.14979,0.17744,0.02587,0.25303,0.01792,0.02296,0.18093,0.36828,0.42928,0.03028,0.02294,0.23097,0.26441,1723.0
1726,12,91721870,91724864,0.08492,0.01863,0.05819,0.01689,0.18979,0.01877,0.11232,0.0206,0.08976,0.03698,0.11394,0.10997,0.0,0.24344,0.0,0.09375,0.07249,0.11108,0.20862,0.0,0.24566,1726.0
1745,12,102101924,102107777,0.02138,0.04981,0.0111,0.06368,0.06571,0.01723,0.11785,0.02074,0.14243,0.03679,0.01218,0.08709,0.03099,0.22919,0.10448,0.13577,0.06918,0.01669,0.27524,0.12514,0.04076,1745.0
1782,12,117640624,117644581,0.0374,0.10715,0.01161,0.16969,0.02696,0.01386,0.25358,0.06098,0.09622,0.10777,0.0213,0.10877,0.53416,0.05329,0.16782,0.26155,0.03249,0.02702,0.35259,0.1435,0.05697,1782.0
1857,13,23545368,23553739,0.01351,0.01351,0.20224,0.01351,0.01351,0.04363,0.0,0.18149,0.0,0.0,0.04241,0.18729,0.0,0.0,0.04372,0.15617,0.15143,0.08914,0.0,0.03731,0.03645,1857.0
1859,13,23631291,23637683,0.03851,0.18705,0.14696,0.1605,0.18152,0.24016,0.09663,0.08397,0.10498,0.13608,0.15041,0.01418,0.01779,0.03859,0.02409,0.02444,0.05437,0.03005,0.04167,0.01749,0.02174,1859.0
1864,13,27048077,27053347,0.0437,0.29545,0.01232,0.27103,0.0288,0.01435,0.17334,0.07119,0.19392,0.0178,0.02541,0.38823,0.02322,0.22512,0.26462,0.42735,0.06357,0.02985,0.28883,0.27054,0.02034,1864.0
1895,13,39057177,39060408,0.06393,0.15114,0.02602,0.28918,0.11009,0.054,0.0363,0.02652,0.17379,0.03276,0.01257,0.08041,0.08266,0.01548,0.04512,0.28833,0.07717,0.01973,0.11026,0.18303,0.03763,1895.0
1898,13,39745504,39753583,0.01351,0.26832,0.01351,0.01351,0.01351,0.01351,0.23173,0.0,0.0,0.0,0.0,0.19937,0.18891,0.18124,0.24572,0.0,0.0,0.0,0.0,0.0,0.0,1898.0
1900,13,39928193,39936767,0.00916,0.21655,0.011,0.03639,0.03299,0.00859,0.2304,0.01802,0.04215,0.04744,0.01177,0.1996,0.35881,0.09557,0.22597,0.07771,0.03938,0.01623,0.14169,0.03871,0.04355,1900.0
1943,13,52883388,52895346,0.00941,0.03994,0.06283,0.04413,0.05611,0.06301,0.04383,0.08272,0.06485,0.07637,0.0704,0.09163,0.01539,0.08372,0.10131,0.22405,0.0,0.02174,0.20982,0.21415,0.02174,1943.0
1944,13,52895346,52915452,0.01709,0.02064,0.04715,0.0344,0.16592,0.03861,0.04567,0.08598,0.09846,0.22973,0.02465,0.0215,0.01584,0.09574,0.07234,0.02344,0.05818,0.11579,0.09891,0.14165,0.26619,1944.0
1945,13,53081182,53094827,0.00886,0.02096,0.04255,0.04874,0.05037,0.06374,0.02568,0.0585,0.06229,0.07442,0.07941,0.10857,0.02587,0.12378,0.14691,0.19196,0.02504,0.01539,0.21981,0.23246,0.01519,1945.0
1989,13,65341567,65344325,0.03248,0.16299,0.11905,0.18503,0.14636,0.25761,0.09047,0.07049,0.15609,0.11137,0.20047,0.0152,0.04828,0.02201,0.05918,0.07407,0.03514,0.08571,0.04545,0.0,0.04545,1989.0
2016,13,72477023,72483510,0.03392,0.1945,0.23103,0.32504,0.24159,0.45993,0.10349,0.15933,0.27048,0.18308,0.37497,0.0208,0.06262,0.02798,0.11734,0.04323,0.02172,0.07697,0.03693,0.02405,0.06266,2016.0
2020,13,72838951,72847157,0.00965,0.29821,0.17057,0.0821,0.01114,0.05946,0.33378,0.22723,0.12466,0.01641,0.07823,0.03522,0.09496,0.28585,0.13827,0.04243,0.2091,0.05868,0.12042,0.0187,0.06791,2020.0
2035,13,78996960,79003056,0.01798,0.09371,0.06994,0.04789,0.373,0.07013,0.06921,0.14676,0.036,0.58351,0.13279,0.32948,0.02384,0.81754,0.2999,0.24342,0.25925,0.01418,0.76818,0.20275,0.24381,2035.0
2040,13,81805434,81813291,0.00885,0.31069,0.0172,0.01689,0.01668,0.01878,0.26709,0.02564,0.02564,0.02564,0.02564,0.26244,0.24931,0.23959,0.31922,0.0,0.0,0.0,0.0,0.0,0.0,2040.0
2060,13,86672849,86684156,0.02306,0.19348,0.02093,0.02032,0.01988,0.0241,0.21816,0.0,0.0,0.0,0.0,0.18745,0.17756,0.17032,0.23149,0.0,0.0,0.0,0.0,0.0,0.0,2060.0
2076,13,90862832,90865314,0.13168,0.01042,0.10022,0.08665,0.01384,0.08099,0.20275,0.01569,0.01987,0.23458,0.0334,0.16435,0.15153,0.01573,0.13094,0.02091,0.20377,0.02608,0.20206,0.02073,0.14974,2076.0
2126,13,104595073,104600742,0.01351,0.01351,0.01351,0.20849,0.01351,0.01351,0.0,0.0,0.21185,0.0,0.0,0.0,0.21797,0.0,0.0,0.19153,0.0,0.0,0.17939,0.22014,0.0,2126.0
2216,14,32949961,32961166,0.05298,0.11984,0.12513,0.20204,0.08769,0.12517,0.0317,0.05002,0.13802,0.03104,0.03334,0.01676,0.06875,0.0153,0.01115,0.07262,0.0251,0.01582,0.1098,0.06603,0.01503,2216.0
2226,14,35597203,35615618,0.04368,0.04416,0.31032,0.07206,0.05813,0.13568,0.14936,0.18329,0.02231,0.01872,0.0403,0.52619,0.2159,0.20325,0.27651,0.13578,0.16525,0.08174,0.02289,0.02088,0.02775,2226.0
2241,14,41607687,41670143,0.04944,0.14283,0.03526,0.07379,0.14225,0.02052,0.0693,0.17078,0.25989,0.3735,0.11866,0.35917,0.47288,0.58712,0.26596,0.03268,0.08736,0.01787,0.04534,0.04408,0.1073,2241.0
2286,14,54707611,54714141,0.02402,0.20503,0.01916,0.12083,0.01086,0.07585,0.18026,0.07147,0.10309,0.02665,0.03447,0.40455,0.04167,0.28034,0.08974,0.28675,0.03735,0.15776,0.18482,0.0421,0.07371,2286.0
2323,14,73990657,74053945,0.01208,0.0115,0.11138,0.14177,0.01418,0.16137,0.01206,0.18634,0.14091,0.01659,0.25838,0.18121,0.14113,0.01544,0.25322,0.45497,0.19659,0.01371,0.1305,0.55771,0.26396,2323.0
2345,14,80106178,80115190,0.03093,0.23512,0.02111,0.15136,0.01345,0.2086,0.16997,0.0166,0.1114,0.06308,0.13518,0.21917,0.02068,0.39038,0.01426,0.15588,0.05559,0.17219,0.312,0.01459,0.32654,2345.0
2351,14,81877218,81881051,0.05178,0.09103,0.27478,0.03394,0.01061,0.33505,0.01968,0.15714,0.01686,0.06229,0.18075,0.09547,0.02654,0.09173,0.11278,0.17019,0.32583,0.01374,0.05362,0.18192,0.33691,2351.0
2352,14,82498679,82504724,0.01009,0.14704,0.04546,0.27146,0.0232,0.01224,0.13166,0.07802,0.30084,0.04222,0.02264,0.30168,0.06494,0.21478,0.21305,0.55879,0.02632,0.04223,0.43731,0.40819,0.02072,2352.0
2358,14,83433920,83437289,0.03561,0.02686,0.01636,0.23916,0.03343,0.0511,0.09745,0.021,0.13464,0.10009,0.01355,0.06978,0.34991,0.02273,0.11223,0.18452,0.09125,0.02662,0.33016,0.10668,0.10563,2358.0
2367,14,85297022,85302644,0.0271,0.12154,0.01589,0.12329,0.0435,0.0124,0.23552,0.01834,0.07223,0.0205,0.01776,0.21764,0.50129,0.32807,0.18528,0.12318,0.0378,0.01412,0.06224,0.11315,0.03462,2367.0
2391,14,95148342,95152963,0.00962,0.02348,0.0107,0.02009,0.12176,0.02375,0.03935,0.0187,0.03557,0.11199,0.03963,0.03704,0.0,0.21127,0.0,0.03704,0.14573,0.03704,0.1811,0.0,0.21322,2391.0
2424,15,20198164,20894589,0.01554,0.01601,0.03072,0.01045,0.01305,0.11255,0.01205,0.01872,0.02548,0.03514,0.06127,0.01877,0.02608,0.03799,0.07334,0.06061,0.09428,0.05275,0.02441,0.16801,0.23283,2424.0
2425,15,21308513,21398673,0.02251,0.0091,0.04763,0.01361,0.22995,0.05123,0.025,0.0233,0.04888,0.18297,0.01955,0.06416,0.02683,0.28408,0.05686,0.10062,0.14419,0.01371,0.29501,0.08266,0.13892,2425.0
2426,15,21885406,22211793,0.02415,0.03061,0.01781,0.01223,0.05561,0.11284,0.0127,0.01605,0.04842,0.163,0.05846,0.01699,0.05426,0.16725,0.04609,0.04397,0.1643,0.07326,0.0749,0.16634,0.35793,2426.0
2444,15,26748894,26752660,0.02305,0.0233,0.01202,0.01443,0.03002,0.17368,0.06905,0.01986,0.04618,0.076,0.09353,0.04969,0.01804,0.02273,0.23042,0.03567,0.07246,0.11893,0.04167,0.16483,0.19405,2444.0
2453,15,28942266,28958106,0.03843,0.04621,0.13371,0.04976,0.44964,0.20572,0.12645,0.22794,0.14491,0.5782,0.25638,0.04984,0.0154,0.30468,0.09346,0.0429,0.14583,0.02322,0.26949,0.06858,0.07365,2453.0
2473,15,36160026,36162460,0.05338,0.21488,0.01384,0.13326,0.38304,0.04457,0.08232,0.03561,0.04556,0.24851,0.01219,0.15466,0.02249,0.06584,0.0908,0.11572,0.393,0.02758,0.13136,0.04876,0.2458,2473.0
2479,15,39371902,39374304,0.03395,0.0085,0.01226,0.04158,0.06972,0.0451,0.0373,0.05948,0.1367,0.02964,0.01273,0.01749,0.0566,0.08484,0.04703,0.04482,0.12934,0.06899,0.25069,0.14689,0.02161,2479.0
2513,15,49543162,49548194,0.01399,0.09487,0.12829,0.16936,0.16088,0.21412,0.07388,0.13407,0.20184,0.19415,0.22205,0.0297,0.07548,0.07272,0.06956,0.05518,0.05437,0.03047,0.0,0.02174,0.02174,2513.0
2546,15,62705932,62707974,0.16446,0.00863,0.29981,0.01523,0.20742,0.38431,0.18877,0.06338,0.11528,0.03174,0.09183,0.3619,0.02301,0.25625,0.42143,0.2822,0.02727,0.01709,0.19169,0.31385,0.03264,2546.0
2556,15,65811160,65820881,0.01402,0.01258,0.09946,0.01063,0.03265,0.15316,0.03103,0.09429,0.0254,0.02677,0.13753,0.15904,0.01633,0.06259,0.22066,0.17778,0.05497,0.01784,0.06253,0.23074,0.07564,2556.0
2567,15,71634013,71717079,0.00907,0.03147,0.07856,0.01416,0.19691,0.01317,0.03312,0.1214,0.01921,0.32055,0.01998,0.18785,0.02034,0.35901,0.06242,0.14359,0.13386,0.0681,0.34231,0.03255,0.22555,2567.0
2588,15,78008182,78013001,0.02043,0.05131,0.1013,0.11594,0.01867,0.10018,0.11329,0.05549,0.06918,0.01647,0.04886,0.27745,0.28376,0.1422,0.21092,0.02137,0.06411,0.0137,0.07845,0.01568,0.0487,2588.0
2605,15,84540748,84544844,0.0101,0.11554,0.10101,0.01246,0.03078,0.21974,0.1384,0.13643,0.02398,0.03566,0.24004,0.01408,0.08224,0.19869,0.03572,0.08896,0.22033,0.03507,0.07945,0.16193,0.29166,2605.0
2607,15,85726159,85797295,0.06369,0.01391,0.11219,0.09215,0.16396,0.16743,0.05409,0.02727,0.02129,0.06737,0.03752,0.14018,0.11824,0.24753,0.19819,0.02213,0.04918,0.01575,0.07922,0.02459,0.03292,2607.0
2609,15,86055722,86060394,0.01895,0.25026,0.01186,0.01654,0.11804,0.02026,0.33946,0.03762,0.05136,0.22515,0.05626,0.20681,0.17634,0.03993,0.17685,0.02116,0.1209,0.01698,0.10035,0.01461,0.07836,2609.0
2628,15,92673994,92678292,0.05153,0.00856,0.01687,0.11269,0.03757,0.1179,0.0588,0.11391,0.06722,0.0167,0.03728,0.02413,0.15289,0.04801,0.1403,0.25502,0.10138,0.22573,0.09455,0.02941,0.04641,2628.0
2655,15,98532350,98536274,0.0,0.21133,0.0,0.0,0.0,0.0,0.17168,0.0,0.0,0.0,0.0,0.14711,0.1393,0.1336,0.18249,0.0,0.0,0.0,0.0,0.0,0.0,2655.0
2658,15,98841305,98843936,0.08485,0.08452,0.10013,0.06849,0.24908,0.06845,0.01215,0.01776,0.01588,0.11072,0.01301,0.0155,0.01483,0.08989,0.01299,0.02217,0.09043,0.02058,0.11078,0.01516,0.11997,2658.0
2659,15,99574058,99578001,0.03531,0.19982,0.01092,0.01337,0.04133,0.07765,0.10068,0.03198,0.06651,0.01744,0.02232,0.177,0.24699,0.08158,0.05089,0.03007,0.04841,0.06315,0.09717,0.10966,0.01912,2659.0
2664,15,100416566,100423773,0.01652,0.22046,0.02214,0.02973,0.01692,0.00989,0.34716,0.01606,0.07349,0.04736,0.02867,0.43031,0.17552,0.23415,0.22985,0.10117,0.06843,0.03886,0.02649,0.02776,0.01737,2664.0
2672,15,102288299,102305670,0.01165,0.02378,0.01043,0.13143,0.01093,0.05119,0.04082,0.02098,0.17401,0.02555,0.03845,0.02227,0.07211,0.02623,0.10366,0.12437,0.02042,0.06343,0.16176,0.26099,0.09709,2672.0
2673,15,102391747,102445902,0.01154,0.08498,0.08107,0.01506,0.03187,0.13658,0.06289,0.12615,0.03245,0.05944,0.17638,0.30507,0.14535,0.1926,0.36983,0.08386,0.03952,0.02068,0.0327,0.11224,0.05679,2673.0
2726,16,13293488,13297296,0.02946,0.01186,0.08481,0.05413,0.16224,0.08883,0.05398,0.04722,0.02635,0.15218,0.03626,0.1325,0.09162,0.23859,0.12982,0.02603,0.09134,0.01464,0.13107,0.0165,0.0775,2726.0
2738,16,16749676,16749876,0.00919,0.1903,0.05503,0.18484,0.0366,0.09418,0.19803,0.07217,0.21825,0.05297,0.10084,0.05526,0.01569,0.07113,0.03012,0.07346,0.02236,0.0183,0.09514,0.03896,0.02592,2738.0
2741,16,17473794,17480429,0.0,0.0,0.24087,0.0,0.23221,0.13766,0.0,0.2092,0.0,0.20651,0.11097,0.21588,0.0,0.21202,0.1162,0.17988,0.02214,0.03026,0.18173,0.09015,0.02217,2741.0
2751,16,23047506,23049620,0.02797,0.00996,0.06853,0.07393,0.40678,0.01434,0.0208,0.02857,0.03339,0.32683,0.01487,0.05386,0.05969,0.37264,0.01243,0.02001,0.2495,0.04005,0.22954,0.04522,0.3381,2751.0
2758,16,25338565,25344549,0.02355,0.08604,0.01016,0.05646,0.01345,0.03818,0.04718,0.02693,0.14865,0.05207,0.10047,0.09288,0.28242,0.14278,0.21291,0.08338,0.02668,0.04656,0.05248,0.01865,0.02516,2758.0
2774,16,33106071,33292140,0.01334,0.07811,0.01182,0.12322,0.0824,0.02015,0.12909,0.0267,0.20025,0.06781,0.03933,0.0562,0.04701,0.24343,0.0285,0.11967,0.10646,0.01671,0.30106,0.06697,0.12364,2774.0
2791,16,55796243,55797961,0.06055,0.07457,0.24408,0.15822,0.01248,0.195,0.25382,0.11875,0.0592,0.04692,0.06075,0.56259,0.44302,0.13042,0.44427,0.03292,0.26035,0.0272,0.16615,0.01429,0.15402,2791.0
2792,16,55813085,55820610,0.05879,0.05194,0.24196,0.15621,0.01212,0.19239,0.20417,0.11875,0.0592,0.04692,0.0607,0.49828,0.38019,0.0886,0.38994,0.03292,0.26035,0.02723,0.16615,0.01429,0.15397,2792.0
2798,16,58672973,58679024,0.04007,0.05501,0.03817,0.05212,0.11163,0.00921,0.17868,0.01515,0.17481,0.05309,0.05783,0.18866,0.01553,0.32451,0.0518,0.20211,0.06017,0.0593,0.3423,0.05672,0.15531,2798.0
2799,16,58945710,58955288,0.03989,0.08652,0.02052,0.37494,0.01079,0.07977,0.02444,0.07103,0.23339,0.03444,0.02148,0.10087,0.14618,0.06013,0.01128,0.38598,0.04545,0.09409,0.30945,0.15425,0.05502,2799.0
2809,16,62544216,62550934,0.02256,0.01598,0.01442,0.33257,0.01183,0.04325,0.01329,0.05622,0.46723,0.04436,0.09502,0.04046,0.43026,0.03145,0.07961,0.30541,0.02121,0.02579,0.3134,0.19228,0.03106,2809.0
2844,16,76536795,76545019,0.00892,0.52411,0.01266,0.0475,0.06525,0.02559,0.47671,0.01854,0.04814,0.06497,0.02894,0.49686,0.33513,0.2782,0.60749,0.07626,0.09574,0.01775,0.02449,0.12069,0.14391,2844.0
2878,16,84499052,84504910,0.0089,0.18389,0.05633,0.09757,0.01853,0.03727,0.19872,0.07131,0.13275,0.02802,0.04049,0.37648,0.46258,0.11975,0.3345,0.04,0.14811,0.01968,0.25428,0.05184,0.08789,2878.0
2882,16,85101681,85104890,0.01351,0.01351,0.01351,0.30176,0.01351,0.01351,0.0,0.0,0.27879,0.0,0.0,0.0,0.28656,0.0,0.0,0.25262,0.0,0.0,0.23672,0.28931,0.0,2882.0
2893,16,87826002,87832408,0.12104,0.16221,0.01861,0.18207,0.01968,0.01911,0.01774,0.18783,0.02975,0.06472,0.07116,0.20995,0.01614,0.08689,0.10301,0.30917,0.06795,0.05382,0.13796,0.13463,0.01475,2893.0
2906,17,397617,639386,0.00885,0.03056,0.01159,0.18563,0.11803,0.00898,0.04052,0.01691,0.19516,0.13172,0.01231,0.05776,0.31743,0.25361,0.04631,0.16136,0.10652,0.01407,0.03251,0.17962,0.11589,2906.0
2926,17,5595402,5598014,0.01617,0.15155,0.04957,0.04665,0.0446,0.06433,0.20394,0.04762,0.04615,0.04509,0.05441,0.26564,0.25239,0.24257,0.32286,0.0,0.0,0.0,0.0,0.0,0.0,2926.0
2934,17,7335999,7338766,0.08548,0.01354,0.01639,0.22281,0.01424,0.01,0.1212,0.11465,0.05273,0.10031,0.06842,0.01462,0.3004,0.01516,0.02487,0.29655,0.02086,0.03001,0.27203,0.20551,0.02598,2934.0
2941,17,10117841,10120538,0.0,0.0,0.0,0.20664,0.0,0.0,0.0,0.0,0.18193,0.0,0.0,0.0,0.18717,0.0,0.0,0.16463,0.0,0.0,0.15436,0.18903,0.0,2941.0
2943,17,10889381,10895956,0.17155,0.16285,0.33508,0.31247,0.31298,0.30194,0.01208,0.05945,0.05644,0.03597,0.05792,0.06026,0.0569,0.03575,0.06047,0.01961,0.02586,0.01377,0.02667,0.01437,0.02059,2943.0
2956,17,15787501,15794794,0.00885,0.10264,0.02949,0.04953,0.01821,0.01198,0.11061,0.03907,0.06988,0.02645,0.01569,0.03961,0.24942,0.05496,0.14877,0.16337,0.02291,0.05879,0.13228,0.04378,0.03918,2956.0
2964,17,18296632,18308763,0.06296,0.208,0.08879,0.02664,0.08806,0.16921,0.08124,0.0221,0.02514,0.02605,0.05044,0.04564,0.14268,0.03911,0.01513,0.0519,0.02076,0.0255,0.05964,0.09557,0.02224,2964.0
2966,17,18405462,18513691,0.07423,0.09736,0.17413,0.06041,0.29861,0.24822,0.01226,0.05111,0.01735,0.15524,0.07755,0.05572,0.01871,0.19158,0.08758,0.08923,0.06537,0.01713,0.28107,0.11445,0.0373,2966.0
2969,17,18734652,18738771,0.06456,0.0129,0.03839,0.03596,0.06855,0.10846,0.047,0.01803,0.18051,0.01787,0.01845,0.02935,0.07718,0.06083,0.08373,0.14651,0.02863,0.03072,0.22477,0.23396,0.01615,2969.0
2975,17,20610554,20619880,0.01023,0.43307,0.01024,0.03689,0.02561,0.03089,0.43819,0.01867,0.04614,0.04536,0.02875,0.36685,0.47463,0.26651,0.53015,0.07405,0.0332,0.04994,0.12143,0.02174,0.0995,2975.0
3011,17,32871462,32874991,0.00917,0.13352,0.01142,0.05201,0.14287,0.00837,0.1876,0.01578,0.08165,0.1745,0.01239,0.21968,0.0408,0.58349,0.15415,0.10372,0.16976,0.01602,0.41459,0.06341,0.17632,3011.0
3014,17,35754669,35759869,0.01903,0.12773,0.1314,0.1693,0.15875,0.25316,0.09,0.11643,0.17461,0.16521,0.24404,0.0179,0.04383,0.04093,0.06905,0.03594,0.03436,0.05053,0.02182,0.01786,0.01944,3014.0
3015,17,35772402,35783682,0.01165,0.09479,0.01166,0.01096,0.05821,0.02733,0.08258,0.02519,0.01642,0.05833,0.048,0.15682,0.10636,0.01691,0.20261,0.02578,0.1222,0.02185,0.08481,0.03988,0.14311,3015.0
3024,17,39422828,39431705,0.01407,0.11327,0.03533,0.08108,0.09444,0.00861,0.15632,0.03289,0.16536,0.15699,0.0162,0.18381,0.01858,0.25646,0.12815,0.22114,0.07607,0.04571,0.37468,0.11718,0.1513,3024.0
3047,17,49623805,49625868,0.04994,0.40861,0.03976,0.02745,0.14401,0.00837,0.23307,0.0157,0.10395,0.04909,0.04836,0.23281,0.3998,0.10052,0.3781,0.11428,0.06276,0.04198,0.24266,0.03689,0.1456,3047.0
3054,17,51849523,51863194,0.00906,0.23534,0.03346,0.16153,0.01408,0.01131,0.27831,0.03915,0.20974,0.02317,0.01341,0.17201,0.01739,0.39199,0.24459,0.13094,0.07804,0.02741,0.32826,0.17777,0.02918,3054.0
3061,17,55083725,55100227,0.02857,0.03808,0.14147,0.18292,0.05234,0.21034,0.01311,0.10697,0.17187,0.02704,0.15714,0.08413,0.13981,0.0201,0.12803,0.05518,0.06935,0.01852,0.14946,0.02941,0.09929,3061.0
3069,17,57362728,57369199,0.01769,0.05709,0.14595,0.01312,0.34005,0.0931,0.04787,0.22769,0.01734,0.46126,0.13627,0.33498,0.06944,0.58118,0.21118,0.18711,0.0865,0.02069,0.41211,0.10159,0.11553,3069.0
3071,17,58408420,58414570,0.02027,0.36402,0.03025,0.01023,0.08948,0.01362,0.26467,0.01693,0.02518,0.05227,0.01307,0.21753,0.29223,0.12333,0.29812,0.03947,0.04262,0.0197,0.10288,0.01818,0.06474,3071.0
3125,17,77992431,78000521,0.01909,0.23753,0.01351,0.02945,0.01351,0.02651,0.15447,0.02564,0.01618,0.02564,0.01222,0.17275,0.12673,0.15689,0.15582,0.04167,0.0,0.03,0.04167,0.0143,0.02898,3125.0
3144,17,81074329,81089059,0.02453,0.18118,0.01105,0.08176,0.01089,0.03271,0.09558,0.03673,0.03717,0.0338,0.08458,0.15904,0.03588,0.14268,0.2513,0.10533,0.02057,0.03704,0.09825,0.19064,0.04545,3144.0
3146,17,81151279,81187990,0.066,0.14607,0.0104,0.01031,0.18747,0.01602,0.02295,0.0678,0.08457,0.07143,0.04891,0.18368,0.22764,0.06338,0.14738,0.02147,0.29999,0.01861,0.3618,0.02749,0.24512,3146.0
3187,18,11610107,11639390,0.01078,0.1166,0.01044,0.19485,0.05182,0.00834,0.15247,0.01555,0.27808,0.05654,0.01408,0.1336,0.04054,0.26863,0.12003,0.27494,0.07369,0.01444,0.47218,0.22362,0.0673,3187.0
3195,18,12196209,12196772,0.02564,0.0345,0.0,0.26797,0.0,0.0,0.01603,0.02564,0.22296,0.02564,0.02564,0.02994,0.21206,0.02907,0.03237,0.21372,0.0,0.0,0.20013,0.24549,0.0,3195.0
3196,18,12196772,12198103,0.00929,0.0165,0.01351,0.22272,0.01351,0.00939,0.03112,0.02564,0.22296,0.02564,0.01487,0.04774,0.19014,0.04474,0.0134,0.21372,0.0,0.02174,0.20013,0.19441,0.02174,3196.0
3223,18,23760496,23771792,0.0166,0.06162,0.06226,0.13136,0.02658,0.107,0.09869,0.11385,0.19671,0.02564,0.14262,0.01417,0.0331,0.10298,0.01873,0.03555,0.13054,0.01904,0.20702,0.01703,0.1368,3223.0
3224,18,24554278,24557696,0.01351,0.01351,0.0569,0.01351,0.2609,0.01581,0.0,0.059,0.0,0.24028,0.02174,0.06002,0.0,0.24665,0.02174,0.05469,0.10465,0.03391,0.21139,0.02174,0.20111,3224.0
3255,18,38259000,38266956,0.05355,0.06521,0.01438,0.07074,0.01095,0.00992,0.22379,0.10225,0.02092,0.07714,0.07909,0.04527,0.26219,0.06406,0.05424,0.14699,0.02286,0.01477,0.12208,0.10633,0.01488,3255.0
3273,18,44539088,44563607,0.01491,0.08847,0.02836,0.03209,0.03585,0.06938,0.04817,0.05745,0.06594,0.06859,0.10544,0.17854,0.20467,0.19399,0.26878,0.01971,0.02176,0.02357,0.02276,0.02395,0.01831,3273.0
3288,18,49196332,49206118,0.01799,0.08513,0.30973,0.03071,0.07369,0.20828,0.04347,0.24586,0.01902,0.04563,0.13384,0.12016,0.02815,0.01516,0.04537,0.20902,0.13181,0.03789,0.03599,0.09455,0.04562,3288.0
3295,18,52390507,52394799,0.01494,0.01068,0.03626,0.11443,0.03309,0.04576,0.01343,0.03645,0.1874,0.0352,0.03985,0.04076,0.16183,0.03858,0.04673,0.25516,0.0,0.0,0.23911,0.29215,0.0,3295.0
3303,18,54946204,54949062,0.02848,0.43336,0.04683,0.04844,0.01441,0.06792,0.29418,0.01848,0.0953,0.0199,0.02146,0.23106,0.41995,0.28862,0.22808,0.12655,0.03332,0.01509,0.07871,0.1284,0.03529,3303.0
3340,18,64218720,64221553,0.02431,0.21704,0.0734,0.07689,0.02051,0.08809,0.13406,0.1729,0.04133,0.01652,0.19222,0.42818,0.04595,0.12893,0.47693,0.30312,0.19588,0.01399,0.05032,0.31843,0.19627,3340.0
